苛化度苛化作用苛化率	ChemEntity+++苛化度苛化作用苛化率
没食子酸	ChemEntity+++没食子酸
奎哪啶红	ChemEntity+++奎哪啶红
助色团	ChemEntity+++助色团
单分子反应	ChemEntity+++单分子反应
瞞	ChemEntity+++瞞
电子亲合势	ChemEntity+++电子亲合势
阿伏伽德罗数	ChemEntity+++阿伏伽德罗数
丁咯地尔	ChemEntity+++丁咯地尔
盐酸丁咯地尔	ChemEntity+++盐酸丁咯地尔
乙烯	ChemEntity+++乙烯
磁量子数	ChemEntity+++磁量子数
副价	ChemEntity+++副价
均裂	ChemEntity+++均裂
量子数	ChemEntity+++量子数
氢氧化钡	ChemEntity+++氢氧化钡
发泡剂	ChemEntity+++发泡剂
镧系元素	ChemEntity+++镧系元素
氯化钙	ChemEntity+++氯化钙
甲酸	ChemEntity+++甲酸
丁炔	ChemEntity+++丁炔
百里酚蓝	ChemEntity+++百里酚蓝
单萜	ChemEntity+++单萜
红铅	ChemEntity+++红铅
加成反应	ChemEntity+++加成反应
晶格能	ChemEntity+++晶格能
离子对	ChemEntity+++离子对
硫酸钙	ChemEntity+++硫酸钙
络离子	ChemEntity+++络离子
氯化钡	ChemEntity+++氯化钡
内盐	ChemEntity+++内盐
强电解质	ChemEntity+++强电解质
倾析	ChemEntity+++倾析
水玻璃	ChemEntity+++水玻璃
物理化学	ChemEntity+++物理化学
硝酸钡	ChemEntity+++硝酸钡
冰醋酸	ChemEntity+++冰醋酸
红移	ChemEntity+++红移
三氯化磷	ChemEntity+++三氯化磷
试管夹	ChemEntity+++试管夹
弹簧夹	ChemEntity+++弹簧夹
五氯化磷	ChemEntity+++五氯化磷
硬脂酸	ChemEntity+++硬脂酸
丙烷	ChemEntity+++丙烷
单分子亲核取代反应	ChemEntity+++单分子亲核取代反应
丁二烯	ChemEntity+++丁二烯
烯烃	ChemEntity+++烯烃
表面皿	ChemEntity+++表面皿
标准溶液	ChemEntity+++标准溶液
标准状态	ChemEntity+++标准状态
分光光度法	ChemEntity+++分光光度法
金属指示剂	ChemEntity+++金属指示剂
聚甲基丙烯酸甲酯	ChemEntity+++聚甲基丙烯酸甲酯
聚碳酸酯	ChemEntity+++聚碳酸酯
聚异丁烯	ChemEntity+++聚异丁烯
喹哪啶红	ChemEntity+++喹哪啶红
硫化钠	ChemEntity+++硫化钠
硫酸钡	ChemEntity+++硫酸钡
